出发地,目的地,仅看直飞,舱型,乘客类型
国际·中国港澳台热门,欧洲,yes,公务/头等舱,成人与儿童与婴儿,4
亚洲,亚洲,no,头等舱,成人与儿童与婴儿,3
大洋洲,大洋洲,yes,经济/超经舱,成人与婴儿,4
国际·中国港澳台热门,国际·中国港澳台热门,yes,经济/超经舱,仅成人,5
美洲,亚洲,no,经济/超经舱,成人与儿童与婴儿,3
欧洲,亚洲,yes,公务/头等舱,仅成人,4
大洋洲,非洲,no,公务/头等舱,成人与儿童,3
美洲,非洲,no,头等舱,仅成人,3
国内,非洲,yes,经济/超经舱,成人与儿童,3
国内,国际·中国港澳台热门,yes,头等舱,仅成人,4
欧洲,国内,no,公务舱,成人与儿童与婴儿,3
美洲,国际·中国港澳台热门,yes,公务/头等舱,成人与婴儿,3
亚洲,国际·中国港澳台热门,no,公务舱,成人与儿童,3
国际·中国港澳台热门,国际·中国港澳台热门,no,公务/头等舱,成人与婴儿,3
国内,美洲,no,公务/头等舱,仅成人,3
美洲,亚洲,yes,公务舱,成人与婴儿,3
非洲,国内,no,公务舱,成人与婴儿,3
亚洲,欧洲,no,经济/超经舱,成人与儿童与婴儿,3
欧洲,国内,yes,经济/超经舱,成人与儿童,3
国内,大洋洲,no,头等舱,成人与儿童与婴儿,3
大洋洲,国际·中国港澳台热门,no,经济/超经舱,仅成人,2
国际·中国港澳台热门,欧洲,yes,头等舱,成人与儿童与婴儿,2
国内,美洲,no,公务舱,成人与婴儿,2
国内,亚洲,yes,公务/头等舱,成人与儿童与婴儿,4
非洲,美洲,no,公务/头等舱,成人与婴儿,2
大洋洲,非洲,yes,公务舱,成人与儿童与婴儿,2
美洲,大洋洲,yes,经济/超经舱,仅成人,3
欧洲,国际·中国港澳台热门,no,公务舱,成人与儿童,2
国际·中国港澳台热门,非洲,yes,头等舱,成人与儿童,2
美洲,美洲,no,公务/头等舱,仅成人,2
国际·中国港澳台热门,欧洲,yes,经济/超经舱,成人与婴儿,2
非洲,亚洲,yes,头等舱,成人与儿童,3
国内,国内,yes,头等舱,成人与儿童与婴儿,3
大洋洲,美洲,yes,公务舱,成人与儿童,2
欧洲,非洲,no,公务舱,成人与儿童与婴儿,2
美洲,大洋洲,no,公务舱,成人与儿童,2
非洲,欧洲,no,公务舱,仅成人,2
大洋洲,亚洲,yes,公务/头等舱,成人与婴儿,2
欧洲,欧洲,yes,头等舱,成人与儿童与婴儿,2
亚洲,亚洲,yes,经济/超经舱,成人与儿童,2
国际·中国港澳台热门,美洲,yes,公务舱,仅成人,2
国际·中国港澳台热门,大洋洲,no,头等舱,成人与儿童,2
国际·中国港澳台热门,国内,no,公务/头等舱,成人与儿童,2
非洲,非洲,yes,头等舱,成人与儿童与婴儿,2
非洲,国际·中国港澳台热门,no,公务/头等舱,成人与儿童,2
大洋洲,亚洲,no,头等舱,成人与儿童与婴儿,2
欧洲,大洋洲,yes,公务/头等舱,成人与儿童,2
亚洲,大洋洲,no,公务/头等舱,仅成人,2
